PMID,NAMPT mentions (body),NAPRT mentions (body),NAMPT mentions (whole),NAPRT mentions (whole)
31673160,4,1,9,1
31837320,0,0,0,0
31954874,9,1,16,3
32029457,13,7,16,8
32092906,10,0,16,1
32097708,22,0,37,0
32111066,28,8,65,16
32124104,3,0,4,0
32143417,21,0,32,0
32311648,2,0,3,1
32411700,82,4,109,4
32423100,10,3,19,7
32428995,32,0,37,0
32454935,40,0,57,2
32467678,2,0,3,0
32534944,0,0,0,0
32595066,13,2,22,5
32630651,3,1,3,1
32674501,0,0,0,0
32903597,48,0,71,1
32942582,5,0,11,0
32961812,4,0,8,0
33028824,84,14,123,18
33036437,17,1,26,3
33087267,2,0,2,0
33092205,2,1,2,1
33353981,18,0,55,2
33384409,217,45,295,54
33414897,23,0,36,0
33584600,0,2,0,2
33609766,38,8,58,13
33755743,13,10,29,14
33925372,25,1,35,2
33936090,14,1,14,1
34041853,8,3,13,3
34046646,30,1,42,1
34068917,161,51,328,76
34073099,3,2,5,4
34095234,11,0,19,0
34198948,6,1,8,3
34281771,11,0,13,0
34368195,9,4,14,4
34414179,8,0,9,0
34485381,4,0,8,0
34720589,2,0,2,0
34743990,7,4,13,5
34745158,0,0,0,0
34828382,67,2,89,2
34866305,10,3,12,3
34943043,33,0,49,0
35010977,15,2,26,4
35173682,3,0,5,0
35203360,41,0,58,0
35260986,2,0,2,0
35304818,4,1,4,1
35334034,29,0,44,0
35556214,16,1,34,3
35637064,0,0,4,0
35656104,0,0,1,0
35656147,16,0,24,0
35780654,0,0,0,0
35822010,4,0,8,0
35888754,24,8,30,10
35906622,73,10,127,15
35918544,12,3,23,4
35949199,12,1,14,1
35956406,2,0,3,0
36008971,0,0,0,0
36062878,31,0,34,0
36077374,48,1,125,3
36078035,91,23,178,37
36139711,16,1,30,2
36171094,2,2,3,2
36331703,5,1,7,2
36411195,8,6,17,10
36512915,15,1,20,1
36613582,15,2,26,4
36678315,0,0,0,0
36766842,15,3,22,4
36774401,0,0,0,0
36794157,0,0,0,0
36819783,3,0,10,0
36829935,3,1,9,2
36831342,0,0,0,0
36986224,35,0,66,0
37165408,20,2,27,2
37174729,1,0,3,0
37253984,24,1,43,1
37273100,7,0,8,0
37371959,24,12,51,16
37424179,22,5,35,8
37447318,3,0,5,0
37447389,0,0,2,0
37456260,4,0,8,0
37503611,17,2,23,3
37761000,23,0,31,2
37814337,22,10,30,14
37854354,0,0,0,0
38027748,0,0,0,0
38041117,14,3,18,3
38116009,80,34,147,44
38169534,5,0,6,0
38254361,0,0,1,0
38281710,24,0,53,3
38316756,44,0,57,0
38396769,77,108,120,132
38399441,15,1,29,2
38405608,35,2,42,2
38498807,6,0,11,0
38587753,38,1,43,1
38698835,18,2,26,2
38974325,14,4,23,4
38988322,17,0,29,1
39026037,12,2,23,8
39090604,5,2,19,6
39096536,24,0,34,1
39198117,15,0,25,3
39203931,2,0,4,0
39272943,56,17,94,25
39273079,12,0,22,0
39372950,84,0,125,1
39377386,0,0,1,0
39516787,20,3,32,4
39766263,16,3,61,11
39870672,27,0,62,0
39907078,16,0,21,0
40221506,5,5,7,7
40369879,3,4,4,4
40529366,4,1,4,1
40604314,44,19,108,29
40713320,5,2,8,4
40751253,17,0,32,1
40775221,147,3,260,5
40958825,0,0,0,0
41090724,5,0,6,0
41146169,0,0,2,0
41291376,27,1,51,1
41383707,4,0,9,0
41436848,1,0,1,0
42033923,2,0,3,0
42063312,57,8,68,8
42068909,4,0,6,0
42164014,0,0,0,0
42188047,11,2,17,3
42325507,13,0,18,0
42329791,8,5,12,6
42489969,2,0,4,0
42514364,31,4,53,5
42646333,11,1,20,2
42708068,15,0,15,0
