PMID,PMC ID,Full text from PMC,Screen class
42708068,13549304,yes,
42677414,,no,
42646333,13515651,yes,
42624356,,no,
42607935,,no,
42606938,,no,
42580492,,no,
42514364,13414616,yes,
42489969,13395945,yes,
42472419,,no,
42406475,,no,
42329791,13292451,yes,
42325507,13278875,yes,
42188047,13208215,yes,
42164014,13186260,yes,
42091541,,no,
42068909,13144588,yes,
42063312,13133553,yes,NAMPT
42033923,13138852,yes,
41991506,,no,
41914285,,no,
41816858,,no,
41812700,,no,
41770839,,no,
41714893,,no,
41655607,,no,
41489004,,no,
41436848,12727671,yes,
41383707,12689421,yes,
41291376,12647238,yes,
41146169,12560285,yes,
41106366,,no,
41090724,12523741,yes,
41083806,,no,
41061307,,no,
40976508,,no,
40958825,12433975,yes,
40926126,,no,NAMPT
40885694,,no,
40879949,,no,
40775221,12332177,yes,
40751253,12317530,yes,
40713320,12313295,yes,
40696206,,no,
40639631,,no,
40604314,12177089,yes,
40603033,,no,
40529366,12171214,yes,
40516760,,no,consuming enzymes
40369879,12178909,yes,
40326077,,no,
40287324,,no,
40221506,11993703,yes,
40203459,,no,
40097203,,no,
39907078,12167693,yes,
39870672,11772665,yes,
39766263,11673498,yes,
39710071,,no,
39707143,,no,
39693020,,no,
39516787,11546376,yes,consuming enzymes
39492424,,no,consuming enzymes
39422945,,no,
39377386,12376132,yes,
39372950,11450036,yes,
39326681,,no,
39273079,11394323,yes,
39272943,11394644,yes,
39203931,11357639,yes,
39198117,11794032,yes,
39096536,11390314,yes,
39090604,11292923,yes,
39026037,12456757,yes,NAMPT
38988322,11233901,yes,
38974325,11223091,yes,
38698835,11063225,yes,
38587753,11190001,yes,
38498807,10954088,yes,
38409700,,no,
38405608,10884928,yes,
38399441,10893221,yes,
38396769,10889166,yes,
38340651,,no,
38316756,10877972,yes,
38281710,10922927,yes,
38254361,10812544,yes,
38182101,,no,
38169534,10758143,yes,
38116009,10728650,yes,
38041117,10693113,yes,
38027748,10663897,yes,
37984103,,no,
37971292,,no,
37924279,,no,
37880000,,no,
37854354,10579603,yes,
37814337,10563221,yes,
37761000,10526756,yes,
37593976,,no,
37503611,10715442,yes,consuming enzymes
37456260,10348419,yes,
37447389,10346783,yes,
37447318,10346866,yes,
37440039,,no,
37424179,10776128,yes,
37371959,10295009,yes,
37335049,,no,
37288742,10715441,no,
37273100,10240123,yes,
37253984,10838897,yes,
37174729,10177113,yes,
37165408,10171153,yes,
37068054,10692436,no,
36986224,10052115,yes,
36948143,,no,
36878731,,no,
36831342,9954121,yes,
36829935,9952603,yes,NAMPT
36819783,9931471,yes,
36794157,9925988,yes,
36774401,9922293,yes,
36766842,9913999,yes,
36708750,,no,
36678315,9861325,yes,
36657725,,no,
36613582,9820289,yes,
36599416,,no,
36512915,9763689,yes,ineligible on subject
36510042,,no,
36411195,10919933,yes,
36331703,9734213,yes,
36273706,,no,
36219044,,no,
36180651,11412205,no,
36171094,9792654,yes,
36139711,9495723,yes,NAMPT
36078035,9454445,yes,
36077374,9456568,yes,
36062878,9576174,yes,
36008971,9405866,yes,
35956406,9370773,yes,
35949199,9356074,yes,
35918544,9345839,yes,consuming enzymes
35906622,9338646,yes,
35888754,9316858,yes,consuming enzymes
35822010,9261345,yes,
35780654,10084848,yes,consuming enzymes
35768245,,no,
35656147,9133775,yes,
35656104,9116917,yes,
35637064,9893913,yes,
35616339,,no,
35556214,9339518,yes,
35334034,10065019,yes,
35304818,9311062,yes,ineligible on subject
35288098,,no,
35260986,8904166,yes,ineligible on subject
35203360,8869961,yes,
35173682,8842632,yes,
35138178,8917930,no,
35134387,,no,
35010977,8747183,yes,
34943043,8750485,yes,
34866305,9299865,yes,
34828382,8625820,yes,
34745158,8564385,yes,ineligible on subject
34743990,8649045,yes,
34720589,8552375,yes,
34517020,,no,
34509469,,no,
34485381,8415550,yes,
34414179,8369418,yes,
34378474,,no,
34368195,8333862,yes,
34302821,,no,
34281784,,no,
34281771,8761220,yes,
34223888,,no,
34198948,8226607,yes,
34155914,,no,
34095234,8171187,yes,ineligible on subject
34073099,8230230,yes,
34068917,8156468,yes,
34046646,8130408,yes,
34041853,8261484,yes,
33986835,8111861,no,
33936090,8082456,yes,
33932956,,no,
33925372,8123861,yes,
33755743,8038981,yes,
33609766,7973386,yes,
33584600,7873932,yes,ineligible on subject
33499758,8905249,no,
33485900,,no,
33461448,,no,
33414897,7752291,yes,consuming enzymes
33384409,7775471,yes,
33353981,7963035,yes,consuming enzymes
33092205,7587972,yes,
33087267,7586641,yes,
33045949,,no,
33036437,7599962,yes,
33028824,7539288,yes,consuming enzymes
32961812,7551676,yes,
32942582,7558103,yes,
32903597,7438569,yes,
32694684,,no,
32674501,7408119,yes,
32630651,7407593,yes,
32595066,7502477,yes,
32594513,,no,
32573651,,no,
32534944,7275989,yes,
32498025,,no,
32467678,7247064,yes,
32454935,7238357,yes,
32428995,7610120,yes,
32423100,7278809,yes,
32411700,7198709,yes,consuming enzymes
32360833,,no,
32311648,7483800,yes,
32169417,,no,
32143417,7175325,yes,
32124104,7196094,yes,
32111066,7175141,yes,
32097708,7442590,yes,consuming enzymes
32092906,7072712,yes,ineligible on subject
32029457,7050480,yes,
32017979,,no,
31954874,7053056,yes,
31953124,,no,
31917996,,no,
31837320,8328278,yes,
31673160,7223841,yes,
31280708,,no,
