PMID,Adjudication,Target named,Full text source,Reason if ineligible
39026037,eligible,NAMPT,PubMed Central,
36829935,eligible,NAMPT,PubMed Central,
40926126,eligible,NAMPT,obtained by other means,
36139711,eligible,NAMPT,PubMed Central,
42063312,eligible,NAMPT,PubMed Central,
33353981,eligible,consuming enzymes,PubMed Central,
33414897,eligible,consuming enzymes,PubMed Central,
33028824,eligible,consuming enzymes,PubMed Central,
32097708,eligible,consuming enzymes,PubMed Central,
32411700,eligible,consuming enzymes,PubMed Central,
39516787,eligible,consuming enzymes,PubMed Central,
37503611,eligible,consuming enzymes,PubMed Central,
35780654,eligible,consuming enzymes,PubMed Central,
35888754,eligible,consuming enzymes,PubMed Central,
35918544,eligible,consuming enzymes,PubMed Central,
39492424,eligible,consuming enzymes,obtained by other means,
40516760,eligible,consuming enzymes,obtained by other means,
34745158,ineligible,—,PubMed Central,chloroplast phosphoglycerate dehydrogenase
34095234,ineligible,—,PubMed Central,yeast NAD homeostasis
32092906,ineligible,—,PubMed Central,yeast NAD homeostasis
35260986,ineligible,—,PubMed Central,yeast NAD homeostasis
33584600,ineligible,—,PubMed Central,mycobacterial nadB
36512915,ineligible,—,PubMed Central,NAD kinase
35304818,ineligible,—,PubMed Central,"pantothenate kinase, cofactor transport"
